Name	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland
ENSG00000223972.5	0.0	0.0	0.0
ENSG00000227232.5	3.99789	3.17815	2.67308
ENSG00000278267.1	0.0	0.0	0.0
ENSG00000243485.5	0.0	0.0	0.0
ENSG00000237613.2	0.0	0.0	0.0
ENSG00000268020.3	0.0	0.0	0.035769
ENSG00000240361.2	0.0313715	0.033268	0.046475
ENSG00000186092.7	0.040547	0.03639	0.05373
ENSG00000238009.6	0.0555745	0.046406	0.029899
ENSG00000233750.3	0.0176525	0.037877	0.015992
ENSG00000268903.1	3.274	5.47566	3.82747
ENSG00000269981.1	5.09599	8.06555	6.49253
ENSG00000239906.1	0.0	0.0	0.0
ENSG00000241860.7	0.167668	0.139626	0.101941
ENSG00000222623.1	0.0	0.0	0.0
ENSG00000241599.1	0.0	0.0	0.0
ENSG00000279928.2	0.0	0.059578	0.10961
ENSG00000279457.4	7.66885	5.67638	5.32985
ENSG00000273874.1	0.0	0.0	0.0
ENSG00000228463.10	0.469904	0.273176	0.301391
ENSG00000286448.1	0.0	0.0	0.0
ENSG00000236679.2	0.080904	0.060813	0.064489
ENSG00000236601.2	0.0	0.0	0.0
ENSG00000237094.12	0.372618	0.346668	0.232471
ENSG00000269732.1	0.0	0.0	0.092578
ENSG00000284733.2	0.033898	0.032062	0.051112
ENSG00000233653.3	0.0	0.0	0.009218
ENSG00000250575.1	0.013604	0.019299	0.0
ENSG00000278757.1	0.0	0.0	0.0
ENSG00000230021.10	0.177258	0.113775	0.100761
ENSG00000235146.2	0.0	0.0	0.0
ENSG00000225972.1	11.3685	10.0556	13.7216
ENSG00000225630.1	977.022	1028.01	956.74
ENSG00000237973.1	42.0622	42.1974	108.203
ENSG00000229344.1	9.04131	9.93738	15.4222
ENSG00000240409.1	12.4407	12.808	17.6988
ENSG00000248527.1	3103.95	3870.86	5498.76
ENSG00000198744.5	18.2477	16.7006	25.6084
ENSG00000268663.1	0.0	0.0	0.048525
ENSG00000284662.2	0.0	0.03061	0.032948
ENSG00000229376.3	0.106615	0.111287	0.124691
ENSG00000228327.4	2.77956	1.86617	1.72467
ENSG00000223181.1	0.0	0.0	0.0
ENSG00000229905.1	0.0	0.0	0.046505
ENSG00000237491.10	0.548445	0.352766	0.345568
ENSG00000230092.7	1.00146	0.543585	0.59297
ENSG00000177757.2	1.94658	0.890261	1.28003
ENSG00000228794.11	4.58307	4.67592	2.57978
ENSG00000225880.5	4.43197	3.43743	2.87404
ENSG00000288531.1	0.053485	0.094299	0.066432
ENSG00000230368.2	0.064303	0.053423	0.054728
ENSG00000234711.1	0.0539185	0.059118	0.068476
ENSG00000283040.1	0.0	0.0	0.0
ENSG00000272438.1	0.070457	0.131388	0.315959
ENSG00000230699.2	0.0786935	0.127014	0.308012
ENSG00000241180.1	0.0	0.0	0.0
ENSG00000223764.2	0.589084	1.71753	3.96287
