Sample	Model	Stringtie	diff
SGNex_Hct116_cDNA_replicate4_run5	0.933344916344301	0.736529022861624	0.196815893482677
GTEx_v9_ONT_data_sequence_data_GTEX-ZT9X-0326-SM-4U9QG	0.94897891933492	0.765387710175447	0.183591209159473
GTEx_v9_ONT_data_sequence_data_GTEX-WYVS-0526-SM-3H5V7	0.95027408714613	0.765315754385921	0.18495833276021
GTEx_v9_ONT_data_sequence_data_GTEX-1I6K7-1226-SM-AAEQX	0.951897634868597	0.773133914977573	0.178763719891025
GTEx_v9_ONT_data_sequence_data_GTEX-1KXAM-0426-SM-CYKMP	0.954276990004363	0.76532647094422	0.188950519060142
ENCFF771DIX	0.954564677628008	0.824995300141115	0.129569377486893
ENCFF250IWT	0.957457687011121	0.830650392094948	0.126807294916173
GTEx_v9_ONT_data_sequence_data_GTEX-14BMU-0526-SM-5CA2F_rep	0.957728079530789	0.754775323074816	0.202952756455973
GTEx_v9_ONT_data_sequence_data_GTEX-14BMU-0526-SM-5CA2F_rep2	0.957986408020763	0.778715504448838	0.179270903571925
ENCFF245MBY	0.958587036520974	0.818049168367084	0.140537868153891
GTEx_v9_ONT_data_sequence_data_GTEX-1211K-0826-SM-7LDFQ	0.958698230000431	0.760784781407546	0.197913448592885
ENCFF733RRO	0.958881702216426	0.81120397120799	0.147677731008436
ENCFF934MBW	0.959089099948789	0.838014317423544	0.121074782525245
GTEx_v9_ONT_data_sequence_data_GTEX-14BMU-0526-SM-5CA2F	0.960272421924184	0.729602561355849	0.230669860568335
ENCFF552NVU	0.96053359593949	0.811062922688602	0.149470673250889
ENCFF245IPA	0.96166044737246	0.835266758879123	0.126393688493337
SGNex_A549_cDNA_replicate1_run2	0.96255405380451	0.825909269144465	0.136644784660045
ENCFF422XLS	0.963270835338896	0.814345438671116	0.148925396667779
ENCFF511AVQ	0.964255737202225	0.803585474955279	0.160670262246946
ENCFF387HPO	0.964735448989813	0.821225070150389	0.143510378839423
ENCFF489XQJ	0.96613852474453	0.813132157847176	0.153006366897354
ENCFF337VWR	0.966158933665598	0.825141695039097	0.141017238626501
ENCFF569KOA	0.966798067614379	0.801411790002303	0.165386277612076
ENCFF417ALN	0.966849754737172	0.846340361103049	0.120509393634123
ENCFF341BSQ	0.969209333449758	0.821462588321923	0.147746745127835
ENCFF548JGS	0.970910714151614	0.806517924404924	0.16439278974669
ENCFF196WMM	0.971266827854912	0.78528194590822	0.185984881946692
ENCFF197DCI	0.971554930803724	0.841987584648088	0.129567346155636
ENCFF342HOS	0.977945734741928	0.872652805405152	0.105292929336776
ENCFF474GEK	0.980578590934278	0.848896246921964	0.131682344012313
