NOVA1	QKI	MBNL2	SNRNP27	SRPK2	SYF2	SRSF4	ZRSR2	CWF19L2	PQBP1	MBNL1	PTBP2	SF3B6	LSM3	HNRNPUL2	RNF113B	RBMXL2	TFIP11	ESS2	CWC25	ESRP1	RBM47	ESRP2	PTBP3	SNRPD3	CWF19L1	RBM22	FAM98B	ZNF326	SMN1	RBM38	SNRNP35	SNIP1	ISY1	RBM48	RBM6	THOC1	CELF1	CLASRP	RBM17	PRPF6	SFSWAP	GCFC2	CELF3	LUC7L3	SNRNP25	SNRNP40	USP39	RALY	HNRNPC	SAP18	ZMAT2	LSM10	METTL14	SF3B1	AAR2	THOC3	THOC6	DHX8	NOL3	RBMY1D	RBMY1E	PPIE	CD2BP2	GEMIN2
brain tissue	0.00360204467627888	0.00312592291156594	0.00265025415893223	0.00253187670029379	0.00229845445366474	4.1868686242906e-05	0.00011848791099084	0.000260388129185858	-0.000292934972393801	0.000174716617209375	1.68678910176727e-05	0.000604069225150795	-0.000597235597615535	-0.000486612403106702	0.000795928760104661	1.03023468759112e-08	7.38261256344156e-08	5.8849694644772e-05	9.75901561900281e-05	0.000161859141317045	-4.21138906189398e-06	-1.22029521362561e-05	-9.6690085292435e-07	-0.000154998850101642	0.000385288060804294	0.000305136025270461	0.00063292380451067	0.000860749485885341	0.000337208180539298	-0.000183981314971484	4.73807320134059e-05	0.000721812100835465	-0.000158358636713397	1.58019580462654e-05	0.00134782448119618	-3.23704863804139e-05	0.000159620352850977	0.000232943018567405	0.000320067656964681	0.000268947698012928	0.000358679830403871	0.000131512642648809	-9.04869516024956e-05	0.000245465081756801	9.88556846458448e-05	0.00199455307075332	-0.000201671765396903	8.05097597626207e-05	0.000185077862864066	-0.000337073600122447	-0.00017159264894384	4.72906620983108e-05	-7.78719924319986e-05	-0.000131821466408892	-0.000117598877283412	-0.000101331738831874	-7.51925320676774e-05	-4.8116941396674e-05	0	0.0001202766635407	0	0	-1.85993030054435e-05	-0.000161238023619127	6.72091455843869e-05
uterus tissue	-2.00212539868271e-05	-0.000213482434476309	0.000129071830768017	0.00111881553837041	-9.64775488097461e-05	0.00233049642193973	0.00186932946763015	0.0016088786268038	0.0013631336512841	0.00122514243514833	0.00113841465808288	0.000373122917393859	0.000527997741110301	0.000482337721103778	0.000276055083227883	4.11103923014728e-08	0	-0.000305141693209048	0.000355176737182786	0.000483551128303354	-1.12454502817976e-06	-4.08367462840954e-06	-6.49886992702837e-06	-4.54148692800008e-05	1.45913925981864e-05	4.85601671602182e-05	-0.000136322159343019	0.000168166404822746	-6.57337959310983e-05	6.7916058443126e-05	1.11819150205662e-05	0.000416472910879836	0.000327478488536275	0.000303785228099476	0.000131799866476204	0.000107816923172158	0.000247059425959504	-0.000318475313609796	0.000545021018195334	-0.000253074236193235	-0.000482714286642874	0.000252762602502591	-5.65843437960546e-05	-1.44269059341668e-07	8.05386031536257e-05	-5.39687618640288e-05	-0.000534733886726353	0.000452397202668617	-0.000601882227941292	-0.000573231937134692	0.000111409913762099	0.000388701921424173	0.000712284661749707	-0.000185354426974055	0.000323250916444782	0.000545708325849136	-9.40221063551911e-07	0.000223836403707977	2.85168018005112e-05	0.000293729856040883	-0.000190729710610269	-0.000205919222819161	3.57400510886056e-05	-0.00162275737546899	0.000265310639351709
proximal colon tissue	0.000311573551497562	-0.000424613023655298	-0.000250253198425561	0.0013713655602148	-0.000218116307932058	0.00272978615680075	0.000868615492412099	0.00160459721866313	0.000823010046628111	0.000615695841065132	0.00372345052842091	0.00166967350622488	0.00152834601592058	0.00142165317566591	0.00120590390052766	1.84090904446148e-07	1.8357004892814e-07	-2.83356381793142e-05	0.000247514895792102	0.000609376196052958	0.000170284777409509	-6.82956698768472e-06	-4.06467744582821e-05	0.000167167753453335	0.000392538699981734	0.000795720410516606	5.59310737403971e-05	0.000446974497374047	0.000127263592897533	7.89023214528367e-05	7.63243090156157e-05	0.000340645962302371	4.12427716129702e-05	0.000516087504042497	-7.47502082260481e-05	0.000127971546839984	0.000341255097980484	-0.00015125376472375	0.000457950387064999	-0.000170813505813725	-0.000354321842909829	0.00012255444283414	0.00058241923552991	-1.03834824421225e-05	9.02641967896598e-05	-0.000451881860835996	-0.000374380625114959	0.000512922457220293	-0.00069532881043715	-0.000318145571914469	0.000450713028503012	0.000348461739676686	0.0004913100607203	-0.0003611300405121	0.000205289213964516	8.92721449485974e-05	1.09676418539603e-05	0.000466342885457898	-1.42551292995347e-05	0.000913042948922437	0	0	0.000241556645995558	-0.00132086110776618	0.000536815949574072
testicle tissue	5.96968871294798e-05	-0.000107458873482833	-4.8012077676027e-06	2.24076906308758e-05	0.000974853806475797	0.000137512150365379	-6.75072177598732e-06	0	-0.000120459300551479	0	-5.57208948427933e-06	0.000213206988164305	-0.000141822873203331	0.00107330926064561	2.65598358276687e-05	0.00315335162400468	0.00304998051642409	0.00160466047026094	0.00146910248327257	0.000872131256640979	4.14650560524552e-06	0.000133213476346162	0.000157114704895691	-2.53218372213012e-05	4.21486315817669e-05	0.00042106852323198	6.59335535244171e-05	9.05473578648272e-05	1.57123547925496e-06	-4.02305298054584e-05	0.000232837934312632	3.86978881341406e-06	0.000480563153185025	0	-0.000223850082834113	-0.000557958821413696	0.00020877420567372	-3.42238514868193e-06	3.09098246638678e-05	6.32227512203673e-05	0.000807532802672451	-1.44039978432165e-05	8.19061759780731e-05	1.21077046279426e-06	-1.46822270277996e-05	8.83557069375933e-05	-6.96918237882718e-05	0.000287972055110799	0.000768771708500091	-0.00023924099563751	0.00059438984146226	6.0006970355539e-05	-0.000212204916393093	9.17575707155065e-05	-0.000262644367075044	0.000573075112610798	-1.22923640516028e-06	-0.000123739855703483	0.000228757647302036	1.27474281147018e-05	0	-0.000281724809464202	0.000228589070021257	-0.000319046117461775	0.000470599555039569
stomach tissue	2.47071602773673e-05	-0.000146034858843412	-0.000528195165032163	-0.000231870238824043	-0.000160958829895124	0.00159397715895449	0.000163107089508878	0.000233457499940935	7.84566119658523e-05	0.000290204746042107	0.000482971081058668	0.000106046135740495	0.00115071216553512	0.000830016114842508	0.000691845661388634	1.76474050867749e-06	0	0.000101892811912679	0.000372274302612026	0.000313005937879832	0.00392219350008265	0.00144908236859309	0.00101115784345327	0.000811424095838799	0.000784236305438245	0.000690834223007134	0.000341583196080498	0.00018696545014815	6.8053591520565e-05	8.2989095866634e-05	1.27492738591988e-05	0.000401459255263793	0.000112034594449184	0.000292629903558953	-0.000254639066742369	-0.000130982548282822	8.10496436901316e-05	0	8.68519054509968e-05	-4.93444448638927e-05	-5.00957467074521e-05	2.72556151675724e-05	0.000564671240532238	-3.940558896975e-06	-3.10318095698349e-05	-0.000900966022482211	1.80793912214648e-05	0.00054411933269852	3.97099017564587e-05	-0.000171126213991086	0.000554021238521451	0.000271239516016822	-0.000341608995278723	-0.000107298408955779	-0.000119582933141039	-0.000268420181460086	0.000141065798579945	-5.91224256398272e-05	8.54487476107266e-05	0.000128609327573851	0	0	0.000515507401012711	-0.00126409864322121	0.000108941624838698
adipose tissue	0.00184653048001771	-0.000755089743045336	-0.000689256740339052	-0.000185799159600779	-8.56732042194445e-05	0.000850723859532477	0.000745736984820174	0.0002886931817568	-0.000208997613308656	0.000145335175348608	0.00118752437778092	0.000411824623993446	0.000945209316840912	0.0023578847682117	0.000605088602353393	9.56925623690418e-07	0	9.71014874365899e-05	0.000415198246707973	0.000753760868130187	1.2966148700028e-06	0.000168041145333436	7.35310730181772e-06	0.000668831333221467	0.000284128803473647	0.00117371389925585	0.00115223648080373	0.00101667645646158	0.000891576245498137	0.000822020144357333	6.68354566428375e-07	0.000430569418661255	0.000514140735129085	0.000394842795163412	0.000464839786645562	-6.71659047225744e-05	0.000224357488290195	7.4288992670302e-06	0.000174764106207852	0.000135318410945545	-9.08458264196214e-05	3.16699790229815e-05	0.000189084746871133	2.56244162858484e-08	-2.24245576413138e-05	-9.74492415504489e-05	-0.000106185428427705	8.81398694052073e-05	-0.000293327506279154	7.14354551447436e-05	0.000371253855990363	0.000473827115840539	-0.000761710620635778	-0.000133219602649003	-0.000444857999966295	6.76735895376898e-05	0.000185083978275079	-0.000175049584213574	0.000440977629708298	0.000271800838709598	0	0	0.00023502185226053	-0.000906938433689232	0.000699388801800054
CD3+ T cells	3.01692809230898e-06	-0.000196748017705878	2.02339003541423e-05	0.00307324010718504	0.000117842330422076	0.00555677965118609	0.000881038434274982	0.00327486306462406	-0.000185024023693434	-0.00040416428934737	0.00272654967227694	0.00114107970790007	0.000226918821223637	0.00171378241202997	0.000492479400160351	0	0	0.000542564594033083	0.00384683927500739	0.00213810296594074	4.36024202560159e-07	4.10581867364645e-06	-4.72335402607516e-07	-0.000401761494208717	-0.000147581208805779	0.00412124791822196	0.00231778936172516	0.000160256828005465	0.00272076151827213	-0.000223070141893547	0.00551697047006991	0.00502832531509378	0.00474148366855936	0.00429219608164685	0.00421648832284441	-7.47818665569688e-05	0.00119267299930593	0.000112982728486971	0.00211690761341035	0.00123653174041101	-2.6593204491551e-06	0.00132414290081939	-0.000434115711048661	2.52913278501596e-09	3.52827768736767e-05	0.00020322500992384	-0.000603521730755282	0.000898704077299987	-0.000526780142338514	-0.00101573629534291	-0.000458731377493493	-0.000163750068896945	-0.000586528711690651	0.000480451643010504	-0.00036674461963926	0.000977948856838425	5.89757488888206e-05	-0.000193285163318744	0.0025148522207627	2.16175319326625e-06	1.16906643147128e-05	-3.75198894698603e-05	7.84090832112549e-05	-0.00101335389341904	0.000578640388240787
HAL-01 B-ALL	0	-0.000136949275185397	3.30586840803271e-05	4.82285260579454e-06	0.000305993913813433	3.75597701712433e-05	0.000308454825400862	-6.55853912882515e-05	-0.000527470371127482	5.67781619493929e-06	0.00015305657475957	0.000288244801603498	-0.000548058364624562	0.000508366739095395	-0.000480075124302218	-5.01067760890048e-07	0	0.000763447655057358	0.000150486821294646	0.000712701059859469	0	1.89480670649849e-06	1.30846711730986e-06	-0.000763624903423656	0.000923378090772333	0.000302498600065901	0.000810662765910399	-0.000594889172464014	0.000607595252939524	0.000388828761312679	4.31148688720173e-05	0.000363770025172455	0.000244994904189664	-1.52905952272255e-05	0.00168711959031193	0.00224790097390368	0.00204820248895685	0.00139082797995716	0.00133808416051719	0.00129642206084464	0.000391921786033488	0.000555347886140643	-9.21888264167286e-05	4.79492643343066e-07	0.000777303002225264	0.000364079308003539	-0.0010098329730852	0.000258370613337139	0.000192552589810636	-9.19046254508339e-05	7.39845880837155e-05	1.71136236435594e-05	-0.00036871213130992	0.000807567485135254	9.08250820715304e-05	1.9194517732013e-05	0.000653445175184801	-0.00059198649506348	0.000173561880348229	-5.60262029922368e-06	1.51704971056502e-05	1.01158872806847e-05	4.69425014943677e-05	-0.000144231776208911	0.000510492803003579
N206 Neuroblastoma	0.000269502308717786	-2.3810298020621e-05	3.7184008011206e-05	0.000405539907409831	3.65806206620234e-05	2.99994899688682e-05	-0.000188261556928701	6.94243089888344e-05	-0.00022380779075931	-0.000160898331755462	-3.16491829530588e-05	0.000570494126964569	-0.000511175519567429	0.000213309097746345	8.79409149993954e-05	1.21826061219021e-08	0	0.000520862387159255	0.000253980594342556	0.000294239352317863	1.11019785224819e-08	6.38691688169073e-09	-1.71918654926475e-06	-0.000107359109662035	0.000237914338419809	0.00024777131283147	-2.53813325051314e-05	-0.000100034256685096	0.000485682844079293	8.58297526028668e-05	6.56272177933807e-05	0.000916386068784512	7.86881408948426e-05	4.21611143498994e-05	0.000751191970446243	0.000456676666045856	0.000998677787909427	0.000596322533029541	0.000530241235278733	0.000258024808666479	0.00124821970788345	0.00121132149242686	0.00115341311730303	0.00101430563725792	0.00101415115751162	2.70747744844284e-05	-0.000601203568150491	0.000102687219253464	-7.01911245313781e-07	-0.000289236747327334	-4.17470207104538e-06	0.000294896629843843	-0.00011661227151612	0.000439345641626913	0.000350497059568375	3.06812779844077e-05	1.1426820341442e-05	-0.000292484613163799	0.000395315660155737	-0.000112390072045416	-1.47754230148299e-05	-1.74740454202089e-05	-6.40201208395964e-05	0.000112539561538717	0.000302010596238918
Brain Vascular Pericyte	2.71386471746303e-05	0.00041548307451353	-8.79590567591905e-06	0.000146444808535559	-8.42579465417668e-05	-0.000104213177512182	-0.000180348997837363	-0.000159506245305396	6.95843105574116e-05	0.000125005247322285	9.59702060767823e-05	-4.26047267432146e-05	-5.13760025190811e-06	-0.000830867681160572	-0.000433986543283276	0	0	1.64929027676496e-05	-0.000180897452441828	-0.000512108145108144	4.2844566387376e-06	1.24839354717095e-06	8.89595080296906e-06	0.000721103474002675	0.000130697062828577	-0.000489441882054073	0.000275303837565673	0.000599242880559227	-0.0006937443016744	0.000117711739439155	0.000146775857659954	0.000394620208936924	0.000415429369413673	0.000150272330161938	-0.000368523751477613	-0.000580766591640432	-0.000131274789466959	-0.000339621170041672	-0.000188334473128286	-9.55911772575054e-05	0.000413072686228273	-0.000441702597136623	0.000114068446849793	4.44519858123941e-07	-5.1017154381051e-05	0.00137604953629279	0.00111553412083663	0.000952126905643329	0.000951503134145062	0.000907736954675404	0.000318807830310167	0.00053231146139258	-6.04430505075303e-05	0.00053935702632473	-0.000421213345206531	-0.000638796397230916	0.000249907094447316	-0.000402412030154013	-0.000417271750254845	0.000111099683683342	0	0	0.000334169377170781	0.000184637097753577	-8.24263258122998e-05
