tissue	model	variable	value
Brain_Spinal_cord_cervical_c-1	model1	1	0.827458256029685
Brain_Amygdala	model1	1	0.850779510022272
Artery_Coronary	model1	1	0.728599221789883
Uterus	model1	1	0.841432225063939
Colon_Sigmoid	model1	1	0.571628232005591
Skin_Not_Sun_Exposed_Suprapubic	model1	1	0.446266968325792
Brain_Hypothalamus	model1	1	0.796242774566474
Pancreas	model1	1	0.636963696369637
Heart_Left_Ventricle	model1	1	0.599352051835853
Lung	model1	1	0.42957042957043
Brain_Caudate_basal_ganglia	model1	1	0.716183574879227
Ovary	model1	1	0.709127382146439
Adipose_Visceral_Omentum	model1	1	0.464718853362734
Brain_Hippocampus	model1	1	0.801996672212978
Brain_Substantia_nigra	model1	1	0.895781637717122
Brain_Corte	model1	1	0.658269441401972
Colon_Transverse	model1	1	0.553606237816764
Thyroid	model1	1	0.369857262804366
Liver	model1	1	0.748735244519393
Skin_Sun_Exposed_Lower_leg	model1	1	0.400204185809086
Artery_Tibial	model1	1	0.399479166666667
Stomach	model1	1	0.642978003384095
Vagina	model1	1	0.855600539811066
Esophagus_Muscularis	model1	1	0.468267581475129
Nerve_Tibial	model1	1	0.38668430335097
Brain_Putamen_basal_ganglia	model1	1	0.769352290679305
Muscle_Skeletal	model1	1	0.415482954545455
Brain_Nucleus_accumbens_basal_ganglia	model1	1	0.671728971962617
Brain_Frontal_Cortex_BA9	model1	1	0.722520107238606
Pituitary	model1	1	0.598478444632291
Spleen	model1	1	0.623366013071895
Esophagus_Gastroesophageal_Junction	model1	1	0.56383712905452
Small_Intestine_Terminal_Ileum	model1	1	0.776507276507276
Artery_Aorta	model1	1	0.51937984496124
Brain_Anterior_cingulate_cortex_BA24	model1	1	0.785953177257525
Whole_Blood	model1	1	0.416584402764067
Cells_EBV-transformed_lymphocytes	model1	1	0.660869565217391
Esophagus_Mucosa	model1	1	0.481629926519706
Heart_Atrial_Appendage	model1	1	0.556188925081433
Brain_Cerebellar_Hemisphere	model1	1	0.593417231364956
Prostate	model1	1	0.686919831223629
Cells_Cultured_fibroblasts	model1	1	0.396761133603239
Minor_Salivary_Gland	model1	1	0.796675191815857
Testis	model1	1	0.417423837520043
Breast_Mammary_Tissue	model1	1	0.497136311569301
Brain_Cerebellum	model1	1	0.570110701107011
Kidney_Corte	model1	1	0.952727272727273
Adrenal_Gland	model1	1	0.66049953746531
Brain_Spinal_cord_cervical_c-1	model2	1	0.785714285714286
Brain_Amygdala	model2	1	0.830188679245283
Artery_Coronary	model2	1	0.642335766423358
Uterus	model2	1	0.75
Colon_Sigmoid	model2	1	0.431372549019608
Skin_Not_Sun_Exposed_Suprapubic	model2	1	0.339055793991416
Brain_Hypothalamus	model2	1	0.747252747252747
Pancreas	model2	1	0.575
Heart_Left_Ventricle	model2	1	0.522222222222222
Lung	model2	1	0.28968253968254
Brain_Caudate_basal_ganglia	model2	1	0.716981132075472
Ovary	model2	1	0.653465346534653
Adipose_Visceral_Omentum	model2	1	0.35981308411215
Brain_Hippocampus	model2	1	0.849315068493151
Brain_Substantia_nigra	model2	1	0.851851851851852
