dist	strand	type
1	+	model1
1	+	model1
2	+	model1
-25	+	model1
62	+	model1
24	+	model1
-3	+	model1
-81	+	model1
12	+	model1
-11	-	model1
-5	-	model1
-5	-	model1
-110	-	model1
50	-	model1
51	-	model1
-16	-	model1
288	-	model1
288	-	model1
284	-	model1
284	-	model1
141	-	model1
-4	-	model1
-75	+	model1
-134	+	model1
-132	+	model1
-69	+	model1
1	+	model1
2	+	model1
-2	+	model1
10	+	model1
112	+	model1
-16	+	model1
-170	+	model1
3	+	model1
-20	-	model1
-20	-	model1
42	-	model1
24	-	model1
-18	-	model1
140	-	model1
-55	-	model1
-2	-	model1
57	+	model1
-45	+	model1
6	+	model1
-1	+	model1
-1	+	model1
-1	+	model1
0	+	model1
1	+	model1
-90	+	model1
-14	+	model1
-34	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
19	+	model1
188	+	model1
15	+	model1
1	-	model1
-27	-	model1
57	-	model1
-125	-	model1
-23	-	model1
52	-	model1
3	-	model1
94	-	model1
-35	+	model1
-119	+	model1
-280	+	model1
-280	+	model1
-2	-	model1
-7	+	model1
13	+	model1
4	+	model1
-1	+	model1
0	+	model1
37	+	model1
37	+	model1
1	+	model1
-34	+	model1
90	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-4	+	model1
-3	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-22	+	model1
-26	+	model1
-112	+	model1
-112	+	model1
-115	+	model1
107	+	model1
-96	+	model1
1	-	model1
7	-	model1
233	-	model1
-27	-	model1
-7	-	model1
-10	-	model1
32	-	model1
58	-	model1
77	-	model1
151	-	model1
151	-	model1
91	-	model1
-1	+	model1
-56	+	model1
-35	+	model1
-119	+	model1
-280	+	model1
-280	+	model1
-2	-	model1
-7	+	model1
-27	+	model1
-1	+	model1
4	+	model1
0	+	model1
37	+	model1
1	+	model1
-34	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-4	+	model1
-3	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-22	+	model1
-112	+	model1
-115	+	model1
1	-	model1
233	-	model1
20	-	model1
-27	-	model1
32	-	model1
77	-	model1
151	-	model1
151	-	model1
52	-	model1
94	-	model1
-17	+	model1
-128	+	model1
-12	+	model1
-12	+	model1
-35	+	model1
-119	+	model1
-280	+	model1
-280	+	model1
-72	+	model1
-19	+	model1
-7	+	model1
-3	+	model1
-1	+	model1
4	+	model1
0	+	model1
93	+	model1
37	+	model1
37	+	model1
1	+	model1
-34	+	model1
-16	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
253	+	model1
-71	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-22	+	model1
-94	+	model1
188	+	model1
1	-	model1
54	-	model1
-27	-	model1
64	-	model1
32	-	model1
-125	-	model1
-23	-	model1
122	-	model1
-11	-	model1
52	-	model1
54	-	model1
54	-	model1
94	-	model1
15	-	model1
-17	+	model1
-17	+	model1
-128	+	model1
-128	+	model1
-130	+	model1
-1	+	model1
-56	+	model1
-35	+	model1
-119	+	model1
-280	+	model1
-280	+	model1
-132	+	model1
-72	+	model1
-7	+	model1
6	+	model1
6	+	model1
-3	+	model1
-3	+	model1
-3	+	model1
0	+	model1
-1	+	model1
4	+	model1
4	+	model1
-1	+	model1
-1	+	model1
37	+	model1
1	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-42	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-33	+	model1
-22	+	model1
188	+	model1
1	-	model1
56	-	model1
-23	-	model1
77	-	model1
52	-	model1
3	-	model1
94	-	model1
-35	+	model1
-35	+	model1
-280	+	model1
-280	+	model1
-280	+	model1
-280	+	model1
-1	+	model1
4	+	model1
2	+	model1
6	+	model1
-2	+	model1
0	+	model1
10	+	model1
112	+	model1
-16	+	model1
3	+	model1
-20	-	model1
-20	-	model1
36	-	model1
35	-	model1
-10	-	model1
-2	-	model1
170	-	model1
-78	-	model1
-249	+	model1
57	+	model1
170	+	model1
-47	+	model1
-47	+	model1
-45	+	model1
6	+	model1
1	+	model1
1	+	model1
1	+	model1
1	+	model1
0	+	model1
22	+	model1
32	+	model1
-62	+	model1
-62	+	model1
-17	+	model1
66	+	model1
-46	+	model1
-47	+	model1
-46	+	model1
-83	+	model1
70	+	model1
-68	+	model1
-12	+	model1
-50	+	model1
-164	+	model1
-246	+	model1
-189	+	model1
-189	+	model1
-1	+	model1
-12	+	model1
108	-	model1
108	-	model1
-67	-	model1
81	-	model1
122	-	model1
-70	-	model1
146	-	model1
-7	-	model1
182	-	model1
182	-	model1
