value	tp	tissue
0.098016036	model_2_v	Brain_Spinal_cord_cervical_c-1
0.09587731	model_2_v	Brain_Amygdala
0.042665127	model_2_v	Artery_Coronary
0.046160198	model_2_v	Uterus
0.0446781699999999	model_2_v	Colon_Sigmoid
0.00084354	model_2_v	Skin_Not_Sun_Exposed_Suprapubic
0.1026639699999999	model_2_v	Brain_Hypothalamus
0.0112003099999999	model_2_v	Pancreas
0.0995935299999999	model_2_v	Heart_Left_Ventricle
0.0006542199999999	model_2_v	Lung
0.0957540999999999	model_2_v	Brain_Caudate_basal_ganglia
0.04580161	model_2_v	Ovary
0.016040596	model_2_v	Adipose_Visceral_Omentum
0.09962221	model_2_v	Brain_Hippocampus
0.09462449	model_2_v	Brain_Substantia_nigra
0.09451276	model_2_v	Brain_Cortex
0.0037240649999999	model_2_v	Colon_Transverse
0.026483636	model_2_v	Thyroid
0.0024946999999999	model_2_v	Skin_Sun_Exposed_Lower_leg
0.04093534	model_2_v	Artery_Tibial
0.0082632859999999	model_2_v	Stomach
0.016064125	model_2_v	Vagina
0.04654996	model_2_v	Esophagus_Muscularis
0.04405996	model_2_v	Nerve_Tibial
0.0935701999999999	model_2_v	Brain_Putamen_basal_ganglia
0.09864749	model_2_v	Brain_Nucleus_accumbens_basal_ganglia
0.095422	model_2_v	Brain_Frontal_Cortex_BA9
0.057542488	model_2_v	Pituitary
0.042654611	model_2_v	Esophagus_Gastroesophageal_Junction
0.0123744039999999	model_2_v	Small_Intestine_Terminal_Ileum
0.04115877	model_2_v	Artery_Aorta
0.1009912499999999	model_2_v	Brain_Anterior_cingulate_cortex_BA24
0.0057832899999999	model_2_v	Esophagus_Mucosa
0.10269182	model_2_v	Heart_Atrial_Appendage
0.0941157799999999	model_2_v	Brain_Cerebellar_Hemisphere
0.053236592	model_2_v	Prostate
0.0623221099999999	model_2_v	Cells_Cultured_fibroblasts
0.003623054	model_2_v	Minor_Salivary_Gland
0.0492304999999999	model_2_v	Testis
0.1001013799999999	model_2_v	Brain_Cerebellum
0.005654815	model_2_v	Kidney_Cortex
0.0212046199999999	model_2_v	Adrenal_Gland
0.24703887	slope	Brain_Spinal_cord_cervical_c-1
0.28511834	slope	Brain_Amygdala
