group	variable	value
higher	mean	0.978698186016949
higher	mean	0.350448755583333
higher	mean	0.129576744857143
higher	mean	0.0390263244666666
higher	mean	0.0722838261833333
higher	mean	0.117517355058333
higher	mean	0.848778693083333
higher	mean	0.25907820925
higher	mean	0.0957337716583333
higher	mean	0.0337109043833333
higher	mean	0.268679302416667
higher	mean	0.0945028075916666
higher	mean	0.364489348833333
higher	mean	0.941074299416666
higher	mean	0.211372832436975
higher	mean	0.0556509258166666
higher	mean	0.0714772067583333
higher	mean	0.0622742017310924
higher	mean	0.0438750836833333
higher	mean	0.156071181141667
higher	mean	0.781726852
higher	mean	0.0982987828583333
higher	mean	0.9496267855
higher	mean	0.178678413666667
higher	mean	0.0851620394833333
higher	mean	0.106826837675
higher	mean	0.229577950416667
higher	mean	0.281341613416667
higher	mean	0.0289082828991596
higher	mean	0.101862995758333
higher	mean	0.665481904083333
higher	mean	0.0703660380666666
higher	mean	0.093961730725
higher	mean	0.14576121875
higher	mean	0.079740495025
higher	mean	0.936988503583333
higher	mean	0.447762677083333
higher	mean	0.8340365285
higher	mean	0.916145174583333
higher	mean	0.189798204625
higher	mean	0.0567504820916666
higher	mean	0.300905948333333
higher	mean	0.154761019916667
higher	mean	0.0651821234166666
higher	mean	0.4427551115
higher	mean	0.0389801224666666
higher	mean	0.0469746869833333
higher	mean	0.028772219975
higher	mean	0.042672864925
higher	mean	0.122726250183333
higher	mean	0.985359495294118
higher	mean	0.0570690217333333
higher	mean	0.95485202940678
higher	mean	0.8069580445
higher	mean	0.0155821249833333
higher	mean	0.0617288168666666
higher	mean	0.506636691416667
higher	mean	0.126964144208333
higher	mean	0.782664867083333
higher	mean	0.177071019
higher	mean	0.0322416029499999
higher	mean	0.286244071333333
higher	mean	0.0197190912689075
higher	mean	0.24482020725
higher	mean	0.9620671495
higher	mean	0.0883860281166666
higher	mean	0.826489543333333
higher	mean	0.0908978329333333
higher	mean	0.118634496275
higher	mean	0.0802805896416666
higher	mean	0.0532917773083333
higher	mean	0.962506684333333
higher	mean	0.0869283232941176
higher	mean	0.17658517025
higher	mean	0.0372613214583333
higher	mean	0.301465240166667
higher	mean	0.0261801726134453
higher	mean	0.0660991335166666
higher	mean	0.0896828147083333
higher	mean	0.441863780333333
higher	mean	0.08384817835
higher	mean	0.962013907416667
higher	mean	0.200230015333333
higher	mean	0.036955373675
higher	mean	0.926989841166667
higher	mean	0.0823396401749999
higher	mean	0.109266257773109
higher	mean	0.5910490505
higher	mean	0.946894086554622
higher	mean	0.0405583864333333
higher	mean	0.1241580967
higher	mean	0.385018638583333
higher	mean	0.455747711
higher	mean	0.0996753080916666
higher	mean	0.929345269915966
higher	mean	0.0237693789591666
higher	mean	0.0487044436722689
higher	mean	0.222931547916667
higher	mean	0.965770609491525
higher	mean	0.166568793825
higher	mean	0.795223464416667
higher	mean	0.93503416725
higher	mean	0.0824547619
higher	mean	0.94838995175
higher	mean	0.9460982645
higher	mean	0.0895494458583333
higher	mean	0.0311167031
higher	mean	0.0687653949416666
higher	mean	0.607320213781513
higher	mean	0.969170320756302
higher	mean	0.707885153333333
higher	mean	0.145896022058823
higher	mean	0.214437112689076
higher	mean	0.570163275666667
higher	mean	0.0417109251083333
higher	mean	0.116043469941667
higher	mean	0.91981694375
higher	mean	0.921148035833333
higher	mean	0.185831313083333
higher	mean	0.171526028833333
higher	mean	0.895396720666667
higher	mean	0.0336497928333333
higher	mean	0.896919048583333
higher	mean	0.180188020083333
higher	mean	0.570478477666667
higher	mean	0.170188139833333
higher	mean	0.0452056878
higher	mean	0.300578287583333
higher	mean	0.56091063575
higher	mean	0.150655695358333
higher	mean	0.0909046298067226
higher	mean	0.0636331218833333
higher	mean	0.0438738419411764
higher	mean	0.3740415005
higher	mean	0.06405274525
higher	mean	0.888242633666667
higher	mean	0.121732820266667
higher	mean	0.0889768974333333
higher	mean	0.45413741775
higher	mean	0.30462879125
higher	mean	0.062489449420168
higher	mean	0.946699572083333
higher	mean	0.299380484333333
higher	mean	0.0741420608644067
higher	mean	0.0494481725166666
higher	mean	0.954467126302521
higher	mean	0.1528900365
higher	mean	0.756825858083333
higher	mean	0.284492519833333
higher	mean	0.0473743796666666
higher	mean	0.0641207096916666
higher	mean	0.0454494105666666
nc	mean	0.973041589166667
nc	mean	0.940295521083333
nc	mean	0.992733825666667
nc	mean	0.890818276333333
nc	mean	0.166852382
nc	mean	0.87979205
nc	mean	0.947323922583333
nc	mean	0.204959149083333
nc	mean	0.88640394825
nc	mean	0.969634965416667
nc	mean	0.916791202083333
nc	mean	0.971063940672269
nc	mean	0.79711465475
nc	mean	0.517607411333333
nc	mean	0.816669338333333
nc	mean	0.8715380595
nc	mean	0.778158919327731
nc	mean	0.664654662833333
nc	mean	0.957215300166667
nc	mean	0.87864863625
nc	mean	0.324607107083333
nc	mean	0.60210515075
nc	mean	0.9488029195
nc	mean	0.938345758319328
nc	mean	0.441952972416667
nc	mean	0.641304447916667
nc	mean	0.929482633583333
nc	mean	0.6109685315
nc	mean	0.779494862333333
nc	mean	0.890775214083333
nc	mean	0.833839404416667
nc	mean	0.150307066375
nc	mean	0.8240088745
nc	mean	0.158098963
nc	mean	0.713453892583333
nc	mean	0.954092163583333
nc	mean	0.86669924675
nc	mean	0.974999285210084
nc	mean	0.961136288487395
nc	mean	0.587052853833333
nc	mean	0.81623372625
nc	mean	0.935038617083334
nc	mean	0.96286817875
nc	mean	0.2099763905
nc	mean	0.126093118183333
nc	mean	0.950425559416667
nc	mean	0.239794327058824
nc	mean	0.915086521916667
nc	mean	0.362052147416667
nc	mean	0.88359034675
nc	mean	0.970139296440678
nc	mean	0.940495212833333
nc	mean	0.26736715725
nc	mean	0.90099573625
nc	mean	0.140138306848739
nc	mean	0.91175195275
nc	mean	0.896482504333333
nc	mean	0.980575215
nc	mean	0.8215618965
nc	mean	0.364219056083333
nc	mean	0.520036490583333
nc	mean	0.562944342333333
nc	mean	0.91375180775
nc	mean	0.622619149583333
nc	mean	0.93334505025
nc	mean	0.867607526416667
nc	mean	0.358668709583333
nc	mean	0.95093804125
nc	mean	0.94272513675
nc	mean	0.91804804025
nc	mean	0.498890840666667
nc	mean	0.629764242916667
nc	mean	0.755350020252101
nc	mean	0.965689394583333
nc	mean	0.842358626333333
nc	mean	0.916468260416667
nc	mean	0.86867605
nc	mean	0.944272914166667
nc	mean	0.0898726711596638
nc	mean	0.984328942931035
nc	mean	0.848590097666667
nc	mean	0.29692551425
nc	mean	0.961281589333333
nc	mean	0.832553273166667
nc	mean	0.0773981112416666
nc	mean	0.814186853333333
nc	mean	0.912027981092437
nc	mean	0.0833426453529411
nc	mean	0.577751943109244
nc	mean	0.94324811475
nc	mean	0.926122681083333
nc	mean	0.0671470348583333
nc	mean	0.113635511175
nc	mean	0.336662778916667
nc	mean	0.938413181583333
nc	mean	0.0500715883697479
nc	mean	0.935261418666667
nc	mean	0.291134444666667
nc	mean	0.877715678583333
nc	mean	0.817908465583333
nc	mean	0.573410660166667
nc	mean	0.825522155833333
nc	mean	0.974808060169492
nc	mean	0.754484268083333
nc	mean	0.978904795882353
nc	mean	0.942061137833333
nc	mean	0.84082307075
nc	mean	0.748518698235294
nc	mean	0.89186636325
nc	mean	0.837597207333333
nc	mean	0.949781962916667
nc	mean	0.98370864375
nc	mean	0.836062834333333
nc	mean	0.880397257083333
nc	mean	0.469765886
nc	mean	0.943795544369748
nc	mean	0.796560198916667
nc	mean	0.203499456
nc	mean	0.834962783916667
nc	mean	0.269034007
nc	mean	0.905624345583334
nc	mean	0.234781140416667
nc	mean	0.92256436907563
nc	mean	0.731227912083333
nc	mean	0.976939695
nc	mean	0.531749798166667
nc	mean	0.411405406517857
nc	mean	0.825222482416667
nc	mean	0.960043185333333
nc	mean	0.847017856416667
nc	mean	0.512827165833333
nc	mean	0.856603249583333
nc	mean	0.937700001666667
nc	mean	0.822740162166667
nc	mean	0.473584971166667
nc	mean	0.313818678583333
nc	mean	0.928175507333333
nc	mean	0.885237574666667
nc	mean	0.792862447583333
nc	mean	0.937557943166667
nc	mean	0.95828108487395
nc	mean	0.9081130175
nc	mean	0.972982553109244
nc	mean	0.962829593166667
nc	mean	0.834041043166667
nc	mean	0.919317287083333
nc	mean	0.912369625166667
nc	mean	0.951129795083333
nc	mean	0.951042901166667
nc	mean	0.712907444
nc	mean	0.1546868477
nc	mean	0.216727993416667
nc	mean	0.87762972325
nc	mean	0.958315244166667
nc	mean	0.98390187375
nc	mean	0.869943226916667
nc	mean	0.24128431675
nc	mean	0.889692906218487
nc	mean	0.917997280916667
nc	mean	0.779834645378151
nc	mean	0.97891367025
nc	mean	0.9648934795
nc	mean	0.479550839
nc	mean	0.7012373965
nc	mean	0.79236683575
nc	mean	0.0374095196833333
nc	mean	0.832239481916667
nc	mean	0.930037796554622
nc	mean	0.929307864333333
nc	mean	0.834488263083333
nc	mean	0.780473927416667
nc	mean	0.929735452916667
nc	mean	0.95739509225
nc	mean	0.983949596495726
