epoch	idx	cluster	tx	variable	value
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000320936.9	cluster_0	ENST00000320936.9	true	0.334410067414723
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000586636.5	cluster_0	ENST00000586636.5	true	0.157316999616046
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000587896.6	cluster_0	ENST00000587896.6	true	0.50827293296923
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000320936.9	cluster_6	ENST00000320936.9	true	0.557198019367048
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000586636.5	cluster_6	ENST00000586636.5	true	0.186284819463286
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000587896.6	cluster_6	ENST00000587896.6	true	0.256517161169667
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000320936.9	cluster_0	ENST00000320936.9	pred	0.355845846532758
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000586636.5	cluster_0	ENST00000586636.5	pred	0.120522014250196
66	GSM6564298_MEL3ECM_0.deduplicated|ENST00000587896.6	cluster_0	ENST00000587896.6	pred	0.523632139217046
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000320936.9	cluster_6	ENST00000320936.9	pred	0.647899714974671
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000586636.5	cluster_6	ENST00000586636.5	pred	0.280421052915445
66	GSM6564298_MEL3ECM_6.deduplicated|ENST00000587896.6	cluster_6	ENST00000587896.6	pred	0.0716792321098836
