"idx"	"value"	"predict"	"group"
"1"	"chr1|-|d|ENSG00000160087|1256991|SRR14638435"	-0.236975	-0.223628580570221	"down"
"2"	"chr1|-|d|ENSG00000175756|1374996|SRR14638435"	0.166372928176796	0.166517615318298	"up"
"3"	"chr1|-|d|ENSG00000008128|1712263|SRR14638435"	-0.440235474006116	-0.406547039747238	"down"
"4"	"chr1|-|d|ENSG00000116237|6231901|SRR14638435"	-0.316666666666667	-0.249335467815399	"down"
"5"	"chr1|-|d|ENSG00000116237|6233473|SRR14638435"	-0.549872832369942	-0.404252618551254	"down"
"6"	"chr1|-|d|ENSG00000116237|6234885|SRR14638435"	-0.323768072289157	-0.298250526189804	"down"
"7"	"chr1|-|d|ENSG00000116237|6235716|SRR14638435"	-0.530542222222222	-0.366280406713486	"down"
"8"	"chr1|-|d|ENSG00000097021|6281101|SRR14638435"	-0.637347338935574	-0.460554271936417	"down"
"9"	"chr1|-|d|ENSG00000097021|6294863|SRR14638435"	-0.717541420118343	-0.543127477169037	"down"
"10"	"chr1|-|d|ENSG00000097021|6318491|SRR14638435"	-0.630005763688761	-0.41481551527977	"down"
"11"	"chr1|-|d|ENSG00000097021|6327298|SRR14638435"	-0.725244252873563	-0.505416035652161	"down"
"12"	"chr1|-|d|ENSG00000097021|6333476|SRR14638435"	-0.714014577259475	-0.553785502910614	"down"
"13"	"chr1|-|d|ENSG00000097021|6339432|SRR14638435"	-0.717808695652174	-0.503760814666748	"down"
"14"	"chr1|-|d|ENSG00000097021|6346747|SRR14638435"	0.327712121212121	0.212629824876785	"up"
"15"	"chr1|-|d|ENSG00000007923|6653910|SRR14638435"	-0.2019125	-0.257972449064255	"down"
"16"	"chr1|+|d|ENSG00000116288|7961793|SRR14638435"	0.229152737752161	0.184150069952011	"up"
"17"	"chr1|-|d|ENSG00000171603|9741093|SRR14638435"	-0.202809667673716	-0.219797641038895	"down"
"18"	"chr1|+|d|ENSG00000116786|15721388|SRR14638435"	0.217365269461078	0.0481717362999916	"up"
"19"	"chr1|-|d|ENSG00000219481|16565632|SRR14638435"	-0.395460674157303	-0.328193157911301	"down"
"20"	"chr1|-|d|ENSG00000219481|16567178|SRR14638435"	-0.245263698630137	-0.346604377031326	"down"
