sample	tss_group	tx	site	tp	tp_choice	value_mean	value_diff	pred	true	strand	chr	new_site	site_idx	SSE
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4425805	tss	tss_1			0.4631139	0.6148090322276273	+	chr16	4425805	chr16|4425805	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4426092	d	d_1	0.66059124	0.07838216	0.4631139	0.6148090322276273	+	chr16	4426092	chr16|4426092	0.881
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4431599	a	a_0	0.003287814	0.00049057975	0.4631139	0.6148090322276273	+	chr16	4431598	chr16|4431598	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4431672	d	d_0	0.030325543	-0.012909524	0.4631139	0.6148090322276273	+	chr16	4431672	chr16|4431672	0.003
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4434384	a	a_0	0.93627703	0.00013929978	0.4631139	0.6148090322276273	+	chr16	4434383	chr16|4434383	0.901
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4434517	d	d_0	0.93592167	0.005705148	0.4631139	0.6148090322276273	+	chr16	4434517	chr16|4434517	0.985
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4437402	a	a_0	0.93455786	0.0022130795	0.4631139	0.6148090322276273	+	chr16	4437401	chr16|4437401	0.961
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4437485	d	d_0	0.9307271	-0.09284376	0.4631139	0.6148090322276273	+	chr16	4437485	chr16|4437485	0.922
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4441375	a	a_0	0.91241413	0.017306406	0.4631139	0.6148090322276273	+	chr16	4441374	chr16|4441374	0.947
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4441506	a	a_1	3.80171e-07	0.009444419	0.4631139	0.6148090322276273	+	chr16	4441505	chr16|4441505	
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4441575	d	d_1	0.9142863	0.009349983	0.4631139	0.6148090322276273	+	chr16	4441575	chr16|4441575	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4442268	a	a_1	0.8996511	0.0048522316	0.4631139	0.6148090322276273	+	chr16	4442267	chr16|4442267	0.986
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4442420	d	d_1	0.9105191	0.0055383965	0.4631139	0.6148090322276273	+	chr16	4442420	chr16|4442420	0.944
SGNex_A549_cDNA_replicate1_run2.fastq.gz	ENSG00000103423.14.1	ENST00000431375.6	4443017	a	a_1	0.8593257	-0.040183973	0.4631139	0.6148090322276273	+	chr16	4443016	chr16|4443016	0.962
